Approve (Y/N),Status,Category,Proposed Title,Suggested Slug,Notes,New Act 2025 Section
Y,New,Trusts & NGOs,FCRA Registration: Foreign Contribution Compliance for NGOs,fcra-registration-foreign-contribution-compliance-for-ngos,,
Y,New,Trusts & NGOs,Taxation of Charitable Trusts: Exemptions & Compliance,taxation-of-charitable-trusts-exemptions-and-compliance,,
Y,New,Trusts & NGOs,Annual Compliance Calendar for NGOs and Trusts in India,annual-compliance-calendar-for-ngos-and-trusts-in-india,,
Y,New,Trusts & NGOs,CSR Fund Utilisation: Compliance for Receiving Trusts,csr-fund-utilisation-compliance-for-receiving-trusts,,
Y,New,Trusts & NGOs,Political Party Donations & Section 80GGC Deduction,political-party-donations-and-section-80ggc-deduction,,Section 137
Y,New,Trusts & NGOs,Form 10B/10BB Audit Report for Trusts: Applicability & Due Date,form-10b-10bb-audit-report-for-trusts-applicability-and-due-date,,
Y,New,Payroll & Labour Compliance,EPF Registration & Compliance for Startups and SMEs,epf-registration-and-compliance-for-startups-and-smes,,
Y,New,Payroll & Labour Compliance,ESI Registration: Applicability & Employer Compliance,esi-registration-applicability-and-employer-compliance,,
Y,New,Payroll & Labour Compliance,Payroll Compliance Checklist for Growing Startups in India,payroll-compliance-checklist-for-growing-startups-in-india,,
Y,New,Payroll & Labour Compliance,Gratuity Payment Rules: Eligibility & Tax Exemption Limits,gratuity-payment-rules-eligibility-and-tax-exemption-limits,,
Y,New,Payroll & Labour Compliance,Labour Law Compliance for Startups: A Practical Overview,labour-law-compliance-for-startups-a-practical-overview,,
Y,New,Payroll & Labour Compliance,Contract Labour vs Employment: Compliance Risks for Startups,contract-labour-vs-employment-compliance-risks-for-startups,,
Y,New,Payroll & Labour Compliance,Minimum Wages Act Compliance for Employers,minimum-wages-act-compliance-for-employers,,
Y,New,Payroll & Labour Compliance,POSH Act Compliance: Internal Committee Requirements for Companies,posh-act-compliance-internal-committee-requirements-for-companies,,
Y,New,Payroll & Labour Compliance,Form 24Q vs Form 26Q: TDS Return Filing for Employers,form-24q-vs-form-26q-tds-return-filing-for-employers,,
Y,New,Payroll & Labour Compliance,Perquisites & Fringe Benefits Taxation for Employees,perquisites-and-fringe-benefits-taxation-for-employees,,
Y,New,NRI Taxation,NRI Fixed Deposit Options: NRE vs NRO vs FCNR Comparison,nri-fixed-deposit-options-nre-vs-nro-vs-fcnr-comparison,note: check overlap with existing NRE vs NRO Account post,
Y,New,NRI Taxation,Double Taxation Relief for NRIs: Foreign Tax Credit Under Section 91,double-taxation-relief-for-nris-foreign-tax-credit-under-section-91,,
Y,New,NRI Taxation,NRI Selling Agricultural Land Inherited in India: Tax & FEMA Rules,nri-selling-agricultural-land-inherited-in-india-tax-and-fema-rules,note: check overlap with existing NRI Agricultural Land post,
Y,New,NRI Taxation,NRI Investing in Indian Real Estate: A Complete Compliance Guide,nri-investing-in-indian-real-estate-a-complete-compliance-guide,,
Y,New,NRI Taxation,Tax Implications for NRIs Working Remotely for Foreign Employers from India,tax-implications-for-nris-working-remotely-for-foreign-employers-from,,
Y,New,NRI Taxation,NRI Life Insurance & ULIP Taxation Rules,nri-life-insurance-and-ulip-taxation-rules,,
Y,New,NRI Taxation,Power of Attorney for NRIs: Property Transactions from Abroad,power-of-attorney-for-nris-property-transactions-from-abroad,,
Y,New,NRI Taxation,NRI Demat Account: PIS vs Non-PIS Explained,nri-demat-account-pis-vs-non-pis-explained,,
Y,New,NRI Taxation,Seafarer (Merchant Navy) Taxation: NRI Status & Exemptions,seafarer-merchant-navy-taxation-nri-status-and-exemptions,,
Y,New,NRI Taxation,OCI vs NRI vs PIO: Tax & Compliance Differences Explained,oci-vs-nri-vs-pio-tax-and-compliance-differences-explained,,
Y,New,Transfer Pricing,Cost Plus Method (CPM) in Transfer Pricing: When It Applies,cost-plus-method-cpm-in-transfer-pricing-when-it-applies,,
Y,New,Transfer Pricing,Profit Split Method (PSM) in Transfer Pricing: A Practical Guide,profit-split-method-psm-in-transfer-pricing-a-practical-guide,,
Y,New,Transfer Pricing,Secondary Adjustment Under Transfer Pricing: Section 92CE Explained,secondary-adjustment-under-transfer-pricing-section-92ce-explained,,TO VERIFY before drafting
Y,New,Transfer Pricing,Country-by-Country Reporting (CbCR): Threshold & Filing Requirements,country-by-country-reporting-cbcr-threshold-and-filing-requirements,note: check overlap with existing Master File/Local File/CbCR post,
Y,New,Transfer Pricing,"Transfer Pricing Penalties: Sections 271AA, 271BA & 271G Explained",transfer-pricing-penalties-sections-271aa-271ba-and-271g-explained,,TO VERIFY before drafting
Y,New,Startup Advisory,Employee Stock Option Pool (ESOP Pool) Sizing for Startups,employee-stock-option-pool-esop-pool-sizing-for-startups,note: check overlap with existing ESOP Structuring post,
Y,New,Startup Advisory,Term Sheet Negotiation: Key Clauses Indian Founders Should Understand,term-sheet-negotiation-key-clauses-indian-founders-should-understand,,
Y,New,Startup Advisory,SAFE Notes in India: Are They Legally Recognised?,safe-notes-in-india-are-they-legally-recognised,note: check overlap with existing Convertible Notes vs Equity post,
Y,New,Startup Advisory,Startup Exit Strategies: Acquisition vs IPO vs Buyback,startup-exit-strategies-acquisition-vs-ipo-vs-buyback,,
Y,New,Startup Advisory,Co-Founder Equity Disputes: Prevention & Resolution,co-founder-equity-disputes-prevention-and-resolution,,
Y,New,Startup Advisory,Cap Table Management: Common Mistakes Founders Make,cap-table-management-common-mistakes-founders-make,,
Y,New,Startup Advisory,Startup Winding Up: Fast Track Exit (FTE) Mode Guide,startup-winding-up-fast-track-exit-fte-mode-guide,,
Y,New,Startup Advisory,Startup Bank Account Opening: Documents & Common Rejections,startup-bank-account-opening-documents-and-common-rejections,,
Y,New,Company Incorporation,One Person Company (OPC) Registration: Eligibility & Compliance,one-person-company-opc-registration-eligibility-and-compliance,note: distinct from existing OPC-to-Private-Limited conversion post,
